study_experiment,variant_name,accuracy,macro_f1,balanced_accuracy,accept_rate,accepted_accuracy,reject_rate,false_reject_rate,false_accept_rate,update_count,wrong_update_rate,initial_template_count,final_template_count,unknown_stream_fraction
encoder_threshold_calibration_drift,normal_thr8,0.17820908689898543,0.05092348433626324,0.1634304207119741,1.0,0.17820908689898543,0.0,0.0,0.0,0,0.0,12,12,0.0
encoder_threshold_calibration_drift,shallow_thr10,0.1773268636965152,0.05015381001782663,0.16262135922330098,1.0,0.1773268636965152,0.0,0.0,0.0,0,0.0,12,12,0.0
encoder_threshold_calibration_drift,shallow_thr12,0.1773268636965152,0.05015381001782663,0.16262135922330098,1.0,0.1773268636965152,0.0,0.0,0.0,0,0.0,12,12,0.0
encoder_threshold_calibration_drift,shallow_thr2,0.1773268636965152,0.05015381001782663,0.16262135922330098,1.0,0.1773268636965152,0.0,0.0,0.0,0,0.0,12,12,0.0
encoder_threshold_calibration_drift,shallow_thr4,0.1773268636965152,0.05015381001782663,0.16262135922330098,1.0,0.1773268636965152,0.0,0.0,0.0,0,0.0,12,12,0.0
encoder_threshold_calibration_drift,shallow_thr6,0.1773268636965152,0.05015381001782663,0.16262135922330098,1.0,0.1773268636965152,0.0,0.0,0.0,0,0.0,12,12,0.0
encoder_threshold_calibration_drift,shallow_thr8,0.1773268636965152,0.05015381001782663,0.16262135922330098,1.0,0.1773268636965152,0.0,0.0,0.0,0,0.0,12,12,0.0
encoder_compare_drift,ae16_normal_counter,0.17820908689898543,0.05092348433626324,0.1634304207119741,1.0,0.17820908689898543,0.0,0.0,0.0,0,0.0,12,12,0.0
encoder_compare_drift,ae16_normal_static,0.17820908689898543,0.05092348433626324,0.1634304207119741,1.0,0.17820908689898543,0.0,0.0,0.0,0,0.0,12,12,0.0
encoder_compare_drift,ae16_shallow_counter,0.1773268636965152,0.05015381001782663,0.16262135922330098,1.0,0.1773268636965152,0.0,0.0,0.0,0,0.0,12,12,0.0
encoder_compare_drift,ae16_shallow_static,0.1773268636965152,0.05015381001782663,0.16262135922330098,1.0,0.1773268636965152,0.0,0.0,0.0,0,0.0,12,12,0.0
encoder_compare_drift,pca32_counter,0.4534627260696956,0.45127984812639393,0.4517555092532463,1.0,0.4534627260696956,0.0,0.0,0.0,76,0.39473684210526316,12,12,0.0
encoder_compare_drift,pca32_static,0.46846052051168946,0.46868290596283396,0.4671263447800608,1.0,0.46846052051168946,0.0,0.0,0.0,0,0.0,12,12,0.0
